BatchId;ID;Titrant volume for sample (ml);ErrorCode
ID=20190323161345;386539233;0.09088;;
ID=20190323161345;386539237;11.78003;;
ID=20190323161345;386539273;4.23944;;
ID=20190323161345;386414796;9.25012;;
ID=20190323161345;386414832;8.54028;;
ID=20190323161345;386414866;8.34132;;
ID=20190323161345;386414878;9.95997;;
ID=20190323161345;386414905;11.48774;;
ID=20190323161345;386414914;9.47118;;
ID=20190323161345;386415024;11.44844;;
ID=20190323161345;386421256;5.81142;;
ID=20190323161345;386421278;5.47491;;
ID=20190323161345;386421357;0.08842;;
ID=20190323161345;386423753;49.49590;;
ID=20190323161345;386423755;50.82718;;
ID=20190323161345;386423756;53.98956;;
ID=20190323161345;386423758;49.39520;;
ID=20190323161345;386423761;49.44616;;
ID=20190323161345;386423762;49.39274;;
ID=20190323161345;386424735;20.61260;;
